rawData	tokens	sentiment	Category
@PamRyanRyan1 Ukraine isn’t perfect at the moment and we want to change. That’s why we want to be a part of Europe and NATO! Russia doesn’t want that to happen and they would rather take Ukraine back to make sure there’s no European involvement in Ukraine!	ukraine isnt perfect moment want change thats want part europe nato russia doesnt want happen rather take ukraine back make sure there european involvement ukraine	-0.2495	Neutral
@POTUS Do more! Cut them out of SWIFT immediately. Are you Neville Chamberlain or Winston Churchill?	cut swift immediately neville chamberlain winston churchill	-0.1513	Neutral
Such as withdrawing US troops from inside #Ukraine   Wow you sure told them.  The US needs to do what it promised to do.  Help defend Ukraine	withdrawing u troop inside ukraine wow sure told u need promised help defend ukraine	0.8834	Positive
"\@mcmansionhell AFAIK this whole \""\""Russia will invade Ukraine any moment!\""\"" story is being hyped up by the Western media far out of proportion to the actual tensions being experienced by anybody in Ukraine or Russia.\""""	afaik whole russia invade ukraine moment story hyped western medium far proportion actual tension experienced anybody ukraine russia	-0.4019	Neutral"
Anonymous offers Russian troops Bitcoin bounty to surrender their tanks https://t.co/xXszpkEETE	anonymous offer troop bitcoin bounty surrender tank	0.0	Neutral
#CIA #Ukraine #Russia written by William.J  Burns in 2008. Things were obvious that encircling Russia will eventually lead to a war. https://t.co/O5m6qApPvC	cia ukraine russia written williamj burn thing obvious encircling russia eventually lead war	-0.5994	Negative
@NPRFactCheck's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.	account temporarily unavailable violates twitter medium policy learn	-0.5106	Negative
.@SwedishPM @MinPres @abouthungary @MorawieckiM @EmmanuelMacron @JanezLenarcic @YlvaJohansson vulnerable families need our help. Support the activation of the Temporary Protection Directive to grant urgent protection across Europe to refugees fleeing Ukraine #StandWithUkraine	vulnerable family help support activation temporary protection directive grant urgent protection across europe refugee fleeing ukraine standwithukraine	0.7783	Positive
#RussiaUkraine have patience... If Invasion of Ukraine by Russia will be blunder thn offensive posture by NATO in Ukraine will be disaster. NATO must assure Russia that it has no intention to see Russia disintegrating.. Russia is needed for Defence of Europe..	russiaukraine patience invasion ukraine russia blunder thn offensive posture nato ukraine disaster nato assure russia intention see russia disintegrating russia needed defence europe	-0.7579	Negative
@ufc @Tagir_Ulanbekov @TeamKhabib @MAKHACHEVMMA @UNmgdv War Ukraine!	war ukraine	-0.5994	Negative
@Sperelli_ A good trade would be Ukraine in NATO and Russian missiles in Cuba.	good trade ukraine nato missile cuba	0.4404	Neutral
@MikeDeplorableX @FlawlessinUSA I have a niece (married my nephew) whose family is in Ukraine. The media is actually covering up more than they are revealing. This could easily escalate into a massive war. Ukraine is a calculated effort initiated by Putin well over a year ago. It likely won’t stop there.	niece married nephew whose family ukraine medium actually covering revealing easily escalate massive war ukraine calculated effort initiated putin well year ago likely wont stop	0.125	Neutral
@IntelDoge hoping it's Russian troops-as sky news and Ukrainian troops did a report on it a few weeks ago-struck me they were emphasising it for a reason-as if a false flag by West was coming...	hoping troopsas sky news ukrainian troop report week agostruck emphasising reasonas false flag west coming	0.4215	Neutral
"\\""\""The ambassador in Moscow handed the Russian government a note stating that unless they were prepared at once to withdraw their troops from Ukraine""	ambassador moscow handed government note stating unless prepared withdraw troop ukraine	0.2263	Neutral"
Crossing the Pripyat River within Belarus gives Russia access to a remote border crossing in the area of Ukraine that has remained largely uninhabited due to high radioactivity since the 1986 Chernobyl meltdown. https://t.co/zIiHg5sCsl https://t.co/4vEyORP3ep	crossing pripyat river within belarus give russia access remote border crossing area ukraine remained largely uninhabited due high radioactivity since chernobyl meltdown	0.0	Neutral
@disclosetv Don't believe a word of Russia being the aggressors.  About 4 days ago a group of Ukrainian soldiers crossed the border and opened up on Russian soldiers.  Not many made it back to Ukraine.  Russia was well within its rights to invade then.  But MSN won't tell you that.	dont believe word russia aggressor day ago group ukrainian soldier crossed border opened soldier many made back ukraine russia well within right invade msn wont tell	0.0258	Neutral
@ScholarlySpoon 1)People hated Trump	people hated trump	-0.6369	Negative
WOW! The EMPIRE STATE BUILDING illuminated in Blue and Yellow in support of #Ukraine. #Україна #Украина #нетвойне #плен #STOPRussia #StopWar #StandWithUkraine https://t.co/7gncuDkfcb	wow empire state building illuminated blue yellow support ukraine stoprussia stopwar standwithukraine	0.7579	Positive
@citybyron He survived growing up in Ukraine nothing in the USA is fazing him he probably participated in some war at 6 years old	survived growing ukraine nothing usa fazing probably participated war year old	0.0258	Neutral
@rdone @JackDetsch @michaeldweiss We have been in WWIII for quite some time already	wwiii quite time already	0.0	Neutral
@jeremyscahill OMG!! EXACTLY!! THANK YOU!	omg exactly thank	0.3612	Neutral
"\\""\""Let’s not mince words: This is an invasion\""\"" https://t.co/MvfUfrpf6d A sovereign territory in Europe is being illegally annexed by an authoritarian thug. #putinisathug #pasttimetoact #standwithukraine #whosnext\""""	let mince word invasion sovereign territory europe illegally annexed authoritarian thug putinisathug pasttimetoact standwithukraine whosnext	0.0	Neutral"
Not Until 'Hell Freezes Over': Ex-#NATO Chief #Rasmussen Explains When #Ukraine Will Be Admitted Into Bloc https://t.co/5lDlFnQYDu	hell freeze exnato chief rasmussen explains ukraine admitted bloc	0.6295	Positive
Stop war   Stop putin.    Save. ukraine🇺🇦🇺🇦🇺🇦	stop war stop putin save ukraine	-0.6249	Negative
#OTD in 2014 Russia invaded Ukraine.	otd russia invaded ukraine	0.0	Neutral
'Stand With Ukraine' rally in Detroit https://t.co/ELd2zxrANh via @detroitnews	stand ukraine rally detroit via	0.0	Neutral
@GBNEWS Holy Hell. When did Diane get to be so damn smart and have the foresight to see what's really going on?	holy hell diane get damn smart foresight see whats really going	-0.728	Negative
Guess what? Russia actually bears no animosity towards the Ukraine. The Russian army has not crossed the border to engage in armed conflict.  Our government and our media want you to think Russia has acted aggressively.  But is this true? https://t.co/5Innfu1FbC	guess russia actually bear animosity towards ukraine army crossed border engage armed conflict government medium want think russia acted aggressively true	0.3346	Neutral
Senators worry Russia will invade Ukraine before they finalize sanctions bill https://t.co/vKdqPhPiGL	senator worry russia invade ukraine finalize sanction bill	-0.4404	Neutral
@PeterBorbe Und warum sollte Russland entscheiden ob die Ukraine eine EU oder NATO Mitgliedschaft anstrebt.. das wäre doch eigentlich das Recht eines souveränen Landes oder?	und warum sollte russland entscheiden ob die ukraine eine eu oder nato mitgliedschaft anstrebt da wre doch eigentlich da recht eines souvernen landes oder	-0.5994	Negative
The U.S. ambassador to the United Nations vowed that the U.N. Security Council will press Russia hard in a Monday session to discuss Moscow's massing of troops near Ukraine and rising fears it is planning an invasion: https://t.co/Fv5Pg4OSwY	u ambassador united nation vowed un security council press russia hard monday session discus moscow massing troop near ukraine rising fear planning invasion	0.25	Neutral
US President Biden on Russia-Ukraine crisis:	u president biden russiaukraine crisis	-0.6249	Negative
"#TopNews Breaking: Russia planning fake graphic video of ‘corpses and explosions’ as pretext to invade Ukraine, US claims https://t.co/lNhiNDazlt	topnews breaking russia planning fake graphic video corps explosion pretext invade ukraine u claim	-0.4767	Neutral"
First Russia must give Crimea back to Ukraine before we make Ukraine a perm member of NATO or we Cut Russia completely off from the West . A nation firewall everything comes to a stop then we talk	first russia give crimea back ukraine make ukraine perm member nato cut russia completely west nation firewall everything come stop talk	-0.5106	Negative
Russian troops arresting their own citizens. The anguish is palpable.	troop arresting citizen anguish palpable	-0.5994	Negative
I support @AdamKinzinger in his request to declare the air space over Ukraine as a no-fly zone.	support request declare air space ukraine nofly zone	0.4019	Neutral
@EndGameWW3 @ABC On Sunday we will expect these type of headlines “Russia Invades Ukraine” or “Russia Demobilizes  from the Border”	sunday expect type headline russia invades ukraine russia demobilizes border	0.0	Neutral
#StandWithUkraine https://t.co/IDWFqZ30qT	standwithukraine	0.0	Neutral
#StandWithUkraine	standwithukraine	0.0	Neutral
@HegKong I’m trying to piece this together too. Invading another state is wrong but why has he done it?	im trying piece together invading another state wrong done	-0.2617	Neutral
"China's history and geopolitical interests. Sometimes memes and Douyin/TikTok videos. Opinions personal.\\""""	china history geopolitical interest sometimes meme douyintiktok video opinion personal	0.25	Neutral"
@lizyoull Dont worry kiev will be destroy this night in 48 hours ukraine has lost the war	dont worry kiev destroy night hour ukraine lost war	-0.8071	Negative
😢 🇺🇦 #StandWithUkraine #DefeatPutin https://t.co/8u74pSdftP	standwithukraine defeatputin	0.0	Neutral
If we put UN troops into Ukraine then Vladimir Putin would really think does he really want to take on the entire west the majority of his people don't want war.	put un troop ukraine vladimir putin really think really want take entire west majority people dont want war	0.6522	Positive
@Tryitand @Reuters Biden must be a genius to manipulate Russia into massing troops on Ukraine’s borders then.	biden genius manipulate russia massing troop ukraine border	0.0	Neutral
@reaganbush84fan Bigger ones are yet to come if Russia continues to invade. Remember Biden did say a minor incursion would be more overlooked.	bigger one yet come russia continues invade remember biden say minor incursion overlooked	-0.101	Neutral
@Olin_B12 @komarnyckyj @AsimRiaz1978 There is only fighting where Russian troops cross into Ukraine to make war.	fighting troop cross ukraine make war	-0.7506	Negative
#StandWithUkraine #PrayingForUkraine #StandForUkraine #PrayForUkraine  #StandForDemocracy https://t.co/CR37XgdbpP	standwithukraine prayingforukraine standforukraine prayforukraine standfordemocracy	0.0	Neutral
It'll softly spread to all of these border between #Russia and #Ukraine https://t.co/6AotqRJkzH	itll softly spread border russia ukraine	0.0	Neutral
@Space_Station If Russia is about to invade a country that we support why are usa still doing business with them I wonder 🤔	russia invade country support usa still business wonder	0.4019	Neutral
