rawData	tokens	sentiment	Category
@JP_Maloka @MduduziMats The only valid point is that imperialism is wrong.	valid point imperialism wrong	-0.4767	Neutral
a blog and a caricature one.'	blog caricature one	0.0	Neutral
@Paul_Wingrove @bneeditor Yes. Russia promised not to invade from already invaded territories. No reason to be concerned.	yes russia promised invade already invaded territory reason concerned	0.4588	Neutral
#StandWithUkraine https://t.co/MGRWGS3Kqq	standwithukraine	0.0	Neutral
Seriously Ukraine is not Russian soil. What's the difference between engaging them there or past the imaginary NATO line? Or will we let it go every time and just watch more people die? Nukes will be the threat used every time.	seriously ukraine soil whats difference engaging past imaginary nato line let go every time watch people die nuke threat used every time	-0.7832	Negative
世界中の人々が、戦争を非難するこちらの意見書に署名しています。一緒にご署名のうえ、 #ウクライナ の人々と共に立ち上がりましょう！　#NoWar #StandWithUkraine https://t.co/C0enpBSL58	nowar standwithukraine	0.0	Neutral
How soon will the Nato forces get to Ukraine? I can't believe this is happening in the modern day world after the lessons from World War 2. Can't we act faster? https://t.co/Cx524OFUr3	soon nato force get ukraine cant believe happening modern day world lesson world war cant act faster	-0.5994	Negative
"'rawDescription': \\""Mediagazer presents the day's must-read media news on a single page.\""\""""	rawdescription mediagazer present day mustread medium news single page	0.0	Neutral"
@RepStefanik You can't do this. You can't be quiet while TFG praises Putin and Russian troops are crossing the border and now pretend you are Pro Ukraine. The House impeached Trump for his extortion plot to get Ukraine to dig up dirt on Biden by withholding weapons. You voted not to impeach.	cant cant quiet tfg praise putin troop crossing border pretend pro ukraine house impeached trump extortion plot get ukraine dig dirt biden withholding weapon voted impeach	-0.3182	Neutral
@hugolowell @GuardianUS U think a president would walk 2 the capital? 4get Biden &amp; Hunter Ukraine. forget about the uranium that Hillary sold to Russia's. Benghazi. Clinton foundation. Epstein. Look more into Biden. Why are we getting oil from Russia when we have our own? We're funding this war.	think president walk capital get biden amp hunter ukraine forget uranium hillary sold russia benghazi clinton foundation epstein look biden getting oil russia funding war	-0.7597	Negative
Why are everyone making a big thing about Boris having a few drinks on his birthday but Russia is about to invade Ukraine and nothing is made of it. This is more important than trying to prove something that everyone did at one stage of the lockdown	everyone making big thing boris drink birthday russia invade ukraine nothing made important trying prove something everyone one stage lockdown	0.3898	Neutral
It's time to expell all Russian Diplomats and Students from the United States.	time expell diplomat student united state	0.4215	Neutral
@Gerd_Magister ...derart pazifistisch geworden das sich Putin wohl keine Sorgen machen muss das irgendwer auf die Idee kommt militärisch einzugreifen. RU hat längst erreicht das die Ukraine nicht Mitglied werden kann.	derart pazifistisch geworden da sich putin wohl keine sorgen machen mus da irgendwer auf die idee kommt militrisch einzugreifen ru hat lngst erreicht da die ukraine nicht mitglied werden kann	-0.8316	Negative
And suddenly the revamp of my Christmas wreath has a new meaning #peace #peaceinukraine #ukrainewar #ukraine #worldpeace https://t.co/f0SidjVwVT	suddenly revamp christmas wreath new meaning peace peaceinukraine ukrainewar ukraine worldpeace	0.5423	Positive
The latest on the Ukraine-Russia border crisis: Live updates - CNN https://t.co/wtY7dg5FZz https://t.co/xSwy55y6hm	latest ukrainerussia border crisis live update cnn	-0.6249	Negative
@JohnJHarwood More partisan bs being regurgitated by CNN.	partisan b regurgitated cnn	0.0	Neutral
