rawData	tokens	sentiment	Category
"\"\"The thing about an impending world war is \"\"world\"\" the fear is the world being involved. Everyone outside of Ukraine is allowed to have anxiety about being involved in ww3 soon and what that means.\"\"	thing impending world war world fear world involved everyone outside ukraine allowed anxiety involved ww soon mean	-0.8316	Negative"
"\"\"The world’s largest plane, an Antonov-225 \"\"Mriya\"	world largest plane antonov mriya	0.0	Neutral"
"\"\"The worst part is there are ACTUAL real-life \"\"growing fascist states\"\" in Europe with real NATO support\"	worst part actual reallife growing fascist state europe real nato support	-0.6486	Negative"
"\"\"There are currently no, repeat no, Russian \"\"peacekeepers\"\" in #Kazakhstan. The Russian forces being deployed as part of CSTO rapid reaction forces are elite airborne troops: some the best combat troops Russia has. Trained in extreme combat for seize-hold and counter-insurgency ops https://t.co/S4XPXG091d\"\"	currently repeat peacekeeper kazakhstan force deployed part csto rapid reaction force elite airborne troop best combat troop russia trained extreme combat seizehold counterinsurgency ops	-0.1027	Neutral"
"\"\"These are the NATO mercenary terrorists troops 300.000 \"\"moderate rebels\"\" invaders of Syria..the contras from Reagan in Nicaragua.. the napalm bombs falling over farming towns in Vietnam..the genocide continue now..through U.S. Nazi Bandera proxy war in Ukraine. https://t.co/qRPPK4z9F6\"\"	nato mercenary terrorist troop moderate rebel invader syriathe contra reagan nicaragua napalm bomb falling farming town vietnamthe genocide continue nowthrough u nazi bandera proxy war ukraine	-0.886	Negative"
"\"\"These talking points are straight out of Putin's \"\"America forced me to deploy 130\"	talking point straight putin america forced deploy	-0.2732	Neutral"
"\"\"They failed to consider NATO provocations, how NATO troops are amassed all around Russian borders. They paint RU troop movements as harkening to the \"\"Cold War\"\"\"	failed consider nato provocation nato troop amassed around border paint ru troop movement harkening cold war	-0.802	Negative"
"\"\"This \"\"abundance of caution\"\" is even \"\"better\"\" than \"\"minor incursion\"\". Think of what picture of yourself you create and what message you transmit. Is this how you #StandWithUkraine ? https://t.co/8JuYT2gPm4\"\"	abundance caution even better minor incursion think picture create message transmit standwithukraine	0.6124	Positive"
"\"\"This \"\"fog of war\"\" is a painful deja vu of the first months of #Russia's 2014 invasion of Ukraine: when Kremlin's infosoldiers told the world about non-existent thousands of civilians killed by \"\"UA fascists\"\"\"	fog war painful deja vu first month russia invasion ukraine kremlin infosoldiers told world nonexistent thousand civilian killed ua fascist	-0.9201	Negative"
"\"\"This Time #Biden \"\"Senses\"\" #Russia Will Invade #Ukraine In \"\"Next Several Days\"\" https://t.co/49URMbRzAv\"\"	time biden sens russia invade ukraine next several day	0.0	Neutral"
"\"\"This Time Biden \"\"Senses\"\" Russia Will Invade Ukraine In \"\"Next Several Days\"\" - https://t.co/XaXWyDHbH7\"\"	time biden sens russia invade ukraine next several day	0.0	Neutral"
"\"\"This US Senator is angry at Joe Biden sending US troops to Eastern Europe while doing nothing about Russia's threats to Ukraine other than saying \"\"an invasion is inevitable\"\" and I'm not going to stop it. His speech against Biden is put rather well! https://t.co/Vz1hvqRTDK\"\"	u senator angry joe biden sending u troop eastern europe nothing russia threat ukraine saying invasion inevitable im going stop speech biden put rather well	0.2547	Neutral"
"\"\"This happens every few years. Like clockwork. For all Putin's swaggering and tired KGB taught manspreading. He does just as much whining 🙄 \"\"why are Nato's bases\"	happens every year like clockwork putin swaggering tired kgb taught manspreading much whining nato base	-0.3182	Neutral"
"\"\"This is THE #Putin quote that will be reverberating all across the Global South for a loooong time: \"\"Citizens of #Iraqi\"	putin quote reverberating across global south loooong time citizen iraqi	0.0	Neutral"
"\"\"This is a \"\"WMD\"\" moment. Russia cannot be trusted. #SanctionRussiaNow #StandWithUkraine https://t.co/svIxYQBiPa\"\"	wmd moment russia cannot trusted sanctionrussianow standwithukraine	-0.3724	Neutral"
"\"\"This is a joke, right?  He is obviously a lying, confused old man.   No questions on the Border, giving Russia \"\"a minor incursion\"\" into Ukraine\"	joke right obviously lying confused old man question border giving russia minor incursion ukraine	-0.5106	Negative"
"\"\"This is a tragedy and blacks -- the tribes are and have been captive of wartime \"\"Captivity\"\".\"	tragedy black tribe captive wartime captivity	-0.6597	Negative"
"\"\"This is great. Per @tvrain , over a bridge in St. Petersburg, someone hung a banner saying \"\"No To War\"\". #StandWithUkraine #RussiaUkraineCrisis https://t.co/i6247tD2TB\"\"	great per bridge st petersburg someone hung banner saying war standwithukraine russiaukrainecrisis	-0.25	Neutral"
"\"\"This is one of those plays that could see a double+ outta nowhere and with the whole Russia/Ukraine \"\"war\"\" most likely to occur over the long 3 day weekend\"	one play see double outta nowhere whole russiaukraine war likely occur long day weekend	-0.4404	Neutral"
"\"\"This is quite disconcerting since the stupid mis-framing of \"\"Nazis\"\" was also used to invade Ukraine!\"	quite disconcerting since stupid misframing nazi also used invade ukraine	-0.5267	Negative"
"\"\"This statement \"\"...the Russians took the opportunity to invade a neighbour\"\" appears 3x in this article - #Georgia\"	statement russian took opportunity invade neighbour appears x article georgia	0.4215	Neutral"
"\"\"This video is (reportedly) of Russian troops entering eastern Ukraine (for \"\"peace keeping\"\" purposes according to Putin) https://t.co/5Aw2PYDG0L\"\"	video reportedly troop entering eastern ukraine peace keeping purpose according putin	0.5423	Positive"
"\"\"This video, with people cheering Russia and chanting \"\"Putin\"\" is hard to watch -- hard to believe these people call themselves \"\"patriots.\"\" This is pure fascism. #StandWithUkraine #GOPtheRussianParty https://t.co/DB1t5PYf42\"\"	video people cheering russia chanting putin hard watch hard believe people call patriot pure fascism standwithukraine goptherussianparty	0.3612	Neutral"
"\"\"This, actually explains the Russian movements more realistically than a \"\"WW2 style invasion\"\" of the whole of Ukraine or even just taking Kiev. I'm sure some will assert that'll happen\"	actually explains movement realistically ww style invasion whole ukraine even taking kiev im sure assert thatll happen	0.3182	Neutral"
"\"\"Time and again, #Biden WH pushes for the \"\"Minsk Arrangements\"\": the subversive #Russia-imposed \"\"peace plan\"\" that aims for annexation of #Ukraine by RU proxy \"\"#Donbass Republics\"\" but will instead trigger a real\"	time biden wh push minsk arrangement subversive russiaimposed peace plan aim annexation ukraine ru proxy donbas republic instead trigger real	0.2023	Neutral"
"\"\"Tinfoil theory: DC needs a war in Ukraine to start before an American Convoy descends on DC, so they can blockade the capital (again) using a \"\"wartime\"\" excuse and so they can blame Russians for the convoy's existence.\"\"	tinfoil theory dc need war ukraine start american convoy descends dc blockade capital using wartime excuse blame russian convoy existence	-0.7402	Negative"
"\"\"To Americans looking to travel to Ukraine to fight Russian troops,  @kjp46 says: \"\"We applaud their bravery. However\"	american looking travel ukraine fight troop say applaud bravery however	0.5574	Positive"
"\"\"To anyone who's \"\"TirEd oF ThiS nEwS cYCle abt Ukraine\"\"\"	anyone who tired news cycle abt ukraine	-0.4404	Neutral"
"\"\"To those repeating the narrative: \"\"Yeah\"	repeating narrative yeah	0.296	Neutral"
"\"\"Today appeasers in Europe and \"\"realists\"\" and wishful thinkers in the US argue for putting Ukraine's NATO aspirations aside\"	today appeaser europe realist wishful thinker u argue putting ukraine nato aspiration aside	-0.34	Neutral"
"\"\"Today, this moment, NATO ministers, provide Ukraine with NATO membership and allow its president to request protection under Article 5 and stick NATO's finger into Putin's nose!  The west also has \"\"nukes\"\"!\"\"	today moment nato minister provide ukraine nato membership allow president request protection article stick nato finger putin nose west also nuke	0.2263	Neutral"
"\"\"Too busy calling you a \"\"Putin Puppet\"\".\"	busy calling putin puppet	0.0	Neutral"
"\"\"Toomey:\"\"I’m glad Biden admin is finally following the law &amp; imposing sanctions on Nord Stream 2 pipeline\"	toomeyim glad biden admin finally following law amp imposing sanction nord stream pipeline	0.3818	Neutral"
"\"\"Tories in trouble in England. Let's go to war against Russia in Ukraine. Tories in trouble in Australia. \"\" All the way with Boris J\"\". Neither country gives a shit about Ukraine.\"\"	tory trouble england let go war russia ukraine tory trouble australia way boris j neither country give shit ukraine	-0.7488	Negative"
"\"\"Totally disappointed with every country within the NATO brand.  Spokesman said, \"\" We don't want to escalate this beyond Ukraine\"\" - meaning\"	totally disappointed every country within nato brand spokesman said dont want escalate beyond ukraine meaning	-0.5596	Negative"
"\"\"Transcript of Putin meeting on February 21, 2021, right before \"\"peacekeepers\"\" were sent into The Ukraine.  Thanks for the heads up CR!  An important and interesting read.  https://t.co/ZsYnvHthgB   #NATO #Putin #Biden #Gazprom\"\"	transcript putin meeting february right peacekeeper sent ukraine thanks head cr important interesting read nato putin biden gazprom	0.8402	Positive"
"\"\"Translation: \"\"A Russian army pilot caught\"\"\"	translation army pilot caught	0.0	Neutral"
"\"\"Translation: \"\"It is not just the people of Ukraine who are mourning today because of the war waged by Russia\"	translation people ukraine mourning today war waged russia	-0.7783	Negative"
"\"\"Translation: Today at 17:13, the Russian army hit Babyn Yar - the site of the mass execution of Jews by the Nazis in World War II. Russian troops, who entered the territory of Ukraine allegedly to \"\"denazify\"\" the country\"	translation today army hit babyn yar site mass execution jew nazi world war ii troop entered territory ukraine allegedly denazify country	-0.5994	Negative"
"\"\"Trump at CPAC: \"\"Under Bush\"	trump cpac bush	0.0	Neutral"
"\"\"Trump's \"\"call\"\" was really about withholding support for Ukraine because HE KNEW Russia was going to violently invade.  Ron Johnson\"	trump call really withholding support ukraine knew russia going violently invade ron johnson	-0.2111	Neutral"
"\"\"Tucker Carlson is Putin's Puppet. Among his claims: \"\"It’s 'not un-American' to support Putin; The whole thing is simply a 'border dispute'; Ukraine is not a democracy; Ukraine is a “puppet” of the West.   https://t.co/BPQyp8Q1PY\"\"	tucker carlson putin puppet among claim unamerican support putin whole thing simply border dispute ukraine democracy ukraine puppet west	-0.607	Negative"
"\"\"Tucker beim \"\"Patrioten Sender\"\" Fox macht sich entgegen der Interessen der #USA für #Russland stark. Spätestens seit #Trump wissen wir\"	tucker beim patrioten sender fox macht sich entgegen der interessen der usa fr russland stark sptestens seit trump wissen wir	0.0	Neutral"
"\"\"Twitter is such a weird place because you'll see an ad for Promised Land right above a headline like \"\"Nato sends warships east as UK pulls Ukraine staff\"\" and meanwhile people just post NFTs or porn like why does this exist\"\"	twitter weird place youll see ad promised land right headline like nato sends warship east uk pull ukraine staff meanwhile people post nfts porn like exist	0.6486	Positive"
"\"\"Twitter leftists r so completely consumed w tearing down Democrats: now, even stories about REPUBLICANS r a \"\"Democratic Party\"\" failing. And\"	twitter leftist r completely consumed w tearing democrat even story republican r democratic party failing	-0.1531	Neutral"
"\"\"Twitter refreshed the trending feed while I was halfway through and I read \"\"Tension continues on the Russian/Ukraine border over the complicated future of Peaky Blinders\"\".\"	twitter refreshed trending feed halfway read tension continues russianukraine border complicated future peaky blinder	-0.3182	Neutral"
"\"\"Tổng thư ký NATO hôm thứ Năm cảnh báo về một \"\"thời điểm nguy hiểm\"\" đối với châu Âu khi Nga tăng quân gần Ukraine và tổ chức các cuộc tập trận chung ở Belarus\"	tng th k nato hm th nm cnh bo v mt thi im nguy vi chu khi nga tng qun gn ukraine v chc cc cuc tp trn chung belarus	0.296	Neutral"
"\"\"U.N. Secretary-General Antonio Guterres said on Tuesday that any Russian troops deployed to eastern Ukraine would not be \"\"peacekeepers\"\" as Moscow has asserted and rejected President Putin's claim that a genocide of ethnic Russians was being committed there https://t.co/dM9qlbDrhB\"\"	un secretarygeneral antonio guterres said tuesday troop deployed eastern ukraine peacekeeper moscow asserted rejected president putin claim genocide ethnic russian committed	-0.5242	Negative"
"\"\"U.S. Ambassador to #Moscow John Sullivan described the buildup of tens of thousands of Russian troops as \"\"extraordinary\"\" &gt;\"	u ambassador moscow john sullivan described buildup ten thousand troop extraordinary gt	0.2732	Neutral"
"\"\"U.S. Sen. Tammy Duckworth reiterated her support for imposing \"\"very strong sanctions\"\" against Russia should it invade Ukraine\"	u sen tammy duckworth reiterated support imposing strong sanction russia invade ukraine	0.7089	Positive"
"\"\"U.S. State Department issued Level 4 Travel Advisory to Russia, \"\"Do not travel to Russia due to ongoing tension along the border with Ukraine\"\".\"\"	u state department issued level travel advisory russia travel russia due ongoing tension along border ukraine	-0.3182	Neutral"
"\"\"U.S. defense secretary says in addition to massing tens of thousands of Russian troops on Ukraine's border, Pentagon seeing \"\"increased naval activity\"\" in North Atlantic and Mediterranean Sea. \"\"Conflict is not inevitable\"	u defense secretary say addition massing ten thousand troop ukraine border pentagon seeing increased naval activity north atlantic mediterranean sea conflict inevitable	0.0772	Neutral"
