rawData	tokens	sentiment	Category
Who Is Volodymyr Zelensky? Ukraine’s Wartime President Is a Former TV Star	volodymyr zelensky ukraine wartime president former tv star	0.0	Neutral
Who Would Benefit From Russia Going to War With Ukraine? https://t.co/iLT31SMZUl	benefit russia going war ukraine	-0.2263	Neutral
Who approves funding? The House &amp; Senate. A few friendly NATO countries: Ukraine to Germany-944 miles. France-1200 miles. Romania-337 miles. Ukraine to Czech-700 miles. Suddenly sending troops near to a conflict isn't just sending them to friendly countries. https://t.co/BqQiK7Oe8V	approves funding house amp senate friendly nato country ukraine germany mile france mile romania mile ukraine czech mile suddenly sending troop near conflict isnt sending friendly country	0.7783	Positive
Who are the left-liberal political officials speaking out against US involvement in a potential Ukraine/Russia war? Is there even one opposed to having the US do something as risky and provocative as funding and arming an insurgency on Russia's border?	leftliberal political official speaking u involvement potential ukrainerussia war even one opposed u something risky provocative funding arming insurgency russia border	-0.6908	Negative
Who benefits the most from the ongoing situation between Ukraine and Russia?	benefit ongoing situation ukraine russia	0.3818	Neutral
Who brings a cremation chamber with them when they invade a sovereign country. Russia is who
Who can accuse Russia breaking promise not to invade Ukraine ? https://t.co/qSVPdbBOIO	accuse russia breaking promise invade ukraine	0.128	Neutral
Who do you  believe? 🤥☠Russian media spreading disinformation about US bioweapons as troops mass near Ukraine https://t.co/FAwgwiJgOS via @BulletinAtomic	believe medium spreading disinformation u bioweapon troop mass near ukraine via	0.0	Neutral
Who do you believe ? Putin
Who does #DianeAbbott @HackneyAbbott blame for the mounting tension on the #UkraineBorder #UkraineCrisis?	dianeabbott blame mounting tension ukraineborder ukrainecrisis	-0.5719	Negative
Who else is watching DEADLINE WHITE HOUSE? Vindman makes it clear
Who else thinks WWIII has started with or without the EU countries and US intervening?    EU countries should’ve been waiting for Putin’s army at the Ukraine border to stop this from happening.	else think wwiii started without eu country u intervening eu country shouldve waiting putin army ukraine border stop happening	-0.296	Neutral
Who encouraged Ukraine to apply for membership in NATO? Is there an agreement between NATO &amp; Russia that NATO will leave a buffer zone between them? Which came first
Who fancies a new chant for tomorrow @UltrasLancing	fancy new chant tomorrow	0.0	Neutral
Who gave him the green light to invade?	gave green light invade	0.0	Neutral
Who has made the most money from the war in Ukraine? And
