rawData	tokens	sentiment	Category
"\"#UkraineWar https://t.co/dknYnSH1U6\"	ukrainewar	0.0	Neutral"
"\"#UkraineWar https://t.co/niwyqVoJTM\"	ukrainewar	0.0	Neutral"
"\"#UkraineWar https://t.co/zlVhBjY5vC\"	ukrainewar	0.0	Neutral"
"\"#UkraineWillResist #StandWithUkraine #PutinAtWar #Ukraine #RussiaUkraine https://t.co/rUkgevWAui\"	ukrainewillresist standwithukraine putinatwar ukraine russiaukraine	0.0	Neutral"
"\"#UkraineWillResist #StandWithUkraine #PutinsWar https://t.co/laXOoZjAsS\"	ukrainewillresist standwithukraine putinswar	0.0	Neutral"
"\"#UkraineWillResist #StandWithUkraine #StandWithBelarus #RussiaInvadedUkraine #RussiaInvadedBelarus https://t.co/SPgP9VYEvu 2/2 https://t.co/TusNSyevIY\"	ukrainewillresist standwithukraine standwithbelarus russiainvadedukraine russiainvadedbelarus	0.0	Neutral"
"\"#UkraineWillResist #StandWithUkraine 🇺🇦🇺🇦🇺🇦🇺🇦 https://t.co/mCJbA1Vc1z https://t.co/cRkJwpsA61\"	ukrainewillresist standwithukraine	0.0	Neutral"
"\"#UkraineWillResist Russia's tyranny, whether from within or from external threats. And thanks to Putin, the #Ukrainian people are now very good at resisting Russia. #StandWithUkraine https://t.co/k6Xm3qwcCa\"	ukrainewillresist russia tyranny whether within external threat thanks putin ukrainian people good resisting russia standwithukraine	0.5095	Positive"
"\"#Ukrainekrise #Storbritannien Vil man undgå at sætte NATO-medlem #Tyskland i forlegenhed? Britisk våbenhjælp til #Ukraine bliver ikke fløjet den direkte vej over Tyskland men via #Danmark https://t.co/uIWnuoiAZc\"	ukrainekrise storbritannien vil man undg stte natomedlem tyskland forlegenhed britisk vbenhjlp til ukraine bliver ikke fljet den direkte vej tyskland men via danmark	0.0	Neutral"
"\"#Ukraine’s Foreign Minister Dmytro Kuleba accused #Russian troops of raping women and backed a call for the creation of a special tribunal to punish #Moscow’s aggression.\"	ukraine foreign minister dmytro kuleba accused troop raping woman backed call creation special tribunal punish moscow aggression	-0.8271	Negative"
"\"#Ukraine’s government is trying to manage the panic about the Russian build up on its border.\"	ukraine government trying manage panic build border	-0.5106	Negative"
"\"#Ukrainian authorities declare that an assassination attempt on President Volodymyr Zelensky has been thwarted\"	ukrainian authority declare assassination attempt president volodymyr zelensky thwarted	-0.6124	Negative"
"\"#Ukrainian border guards to Russian warship: ‘Go f- yourself'\"	ukrainian border guard warship go f	-0.1779	Neutral"
"\"#Ukrainian forces say they have repelled an attack on the country's second city, #Kharkov, after fierce clashes with #Russian forces. Regional governor Oleh Synehubov said the city was now rid of Russian troops - after street-to-street fighting. #Ukraine #Russia #Kiev #Kyiv https://t.co/PY1zFbJSoQ\"	ukrainian force say repelled attack country second city kharkov fierce clash force regional governor oleh synehubov said city rid troop streettostreet fighting ukraine russia kiev kyiv	-0.6808	Negative"
